Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1912,1,-0.198,-0.139,-0.13,-0.147
Portland ME,1912,2,-0.15,-0.139,-0.13,-0.147
Portland ME,1912,3,-0.206,-0.138,-0.13,-0.147
Portland ME,1912,4,-0.133,-0.138,-0.13,-0.147
Portland ME,1912,5,-0.124,-0.138,-0.129,-0.147
Portland ME,1912,6,-0.109,-0.138,-0.129,-0.147
Portland ME,1912,7,-0.074,-0.138,-0.129,-0.146
Portland ME,1912,8,-0.057,-0.138,-0.129,-0.146
Portland ME,1912,9,-0.051,-0.137,-0.129,-0.146
Portland ME,1912,10,-0.125,-0.137,-0.129,-0.146
Portland ME,1912,11,-0.109,-0.137,-0.129,-0.146
Portland ME,1912,12,-0.174,-0.137,-0.128,-0.146
Portland ME,1913,1,-0.152,-0.137,-0.128,-0.145
Portland ME,1913,2,-0.153,-0.137,-0.128,-0.145
Portland ME,1913,3,-0.233,-0.137,-0.128,-0.145
Portland ME,1913,4,-0.161,-0.136,-0.128,-0.145
Portland ME,1913,5,-0.167,-0.136,-0.128,-0.145
Portland ME,1913,6,-0.119,-0.136,-0.128,-0.145
Portland ME,1913,7,-0.12,-0.136,-0.127,-0.144
Portland ME,1913,8,-0.124,-0.136,-0.127,-0.144
Portland ME,1913,9,-0.158,-0.136,-0.127,-0.144
Portland ME,1913,10,-0.07,-0.135,-0.127,-0.144
Portland ME,1913,11,-0.136,-0.135,-0.127,-0.144
Portland ME,1913,12,-0.101,-0.135,-0.127,-0.144
Portland ME,1914,1,-0.027,-0.135,-0.126,-0.143
Portland ME,1914,2,-0.169,-0.135,-0.126,-0.143
Portland ME,1914,3,-0.124,-0.135,-0.126,-0.143
Portland ME,1914,4,-0.179,-0.134,-0.126,-0.143
Portland ME,1914,5,-0.145,-0.134,-0.126,-0.143
Portland ME,1914,6,-0.18,-0.134,-0.126,-0.143
Portland ME,1914,7,-0.101,-0.134,-0.126,-0.142
Portland ME,1914,8,-0.109,-0.134,-0.125,-0.142
Portland ME,1914,9,-0.072,-0.134,-0.125,-0.142
Portland ME,1914,10,-0.113,-0.134,-0.125,-0.142
Portland ME,1914,11,-0.121,-0.133,-0.125,-0.142
Portland ME,1914,12,-0.119,-0.133,-0.125,-0.142
Portland ME,1915,1,-0.125,-0.133,-0.125,-0.141
Portland ME,1915,2,-0.092,-0.133,-0.125,-0.141
Portland ME,1915,3,-0.069,-0.133,-0.124,-0.141
Portland ME,1915,4,-0.179,-0.133,-0.124,-0.141
Portland ME,1915,5,-0.072,-0.132,-0.124,-0.141
Portland ME,1915,6,-0.146,-0.132,-0.124,-0.141
Portland ME,1915,7,-0.083,-0.132,-0.124,-0.14
Portland ME,1915,8,-0.096,-0.132,-0.124,-0.14
Portland ME,1915,9,-0.097,-0.132,-0.123,-0.14
Portland ME,1915,10,-0.116,-0.132,-0.123,-0.14
Portland ME,1915,11,-0.091,-0.131,-0.123,-0.14
Portland ME,1915,12,-0.031,-0.131,-0.123,-0.14
Portland ME,1916,1,-0.122,-0.131,-0.123,-0.139
Portland ME,1916,2,-0.105,-0.131,-0.123,-0.139
Portland ME,1916,3,-0.102,-0.131,-0.123,-0.139
Portland ME,1916,4,-0.078,-0.131,-0.122,-0.139
Portland ME,1916,5,-0.081,-0.13,-0.122,-0.139
Portland ME,1916,6,-0.064,-0.13,-0.122,-0.138
Portland ME,1916,7,-0.138,-0.13,-0.122,-0.138
Portland ME,1916,8,-0.084,-0.13,-0.122,-0.138
Portland ME,1916,9,-0.112,-0.13,-0.122,-0.138
Portland ME,1916,10,-0.174,-0.13,-0.122,-0.138
Portland ME,1916,11,-0.133,-0.13,-0.121,-0.138
Portland ME,1916,12,-0.126,-0.129,-0.121,-0.137
Portland ME,1917,1,-0.143,-0.129,-0.121,-0.137
Portland ME,1917,2,-0.12,-0.129,-0.121,-0.137
Portland ME,1917,3,-0.108,-0.129,-0.121,-0.137
Portland ME,1917,4,-0.152,-0.129,-0.121,-0.137
Portland ME,1917,5,-0.039,-0.129,-0.121,-0.137
Portland ME,1917,6,-0.097,-0.128,-0.12,-0.136
Portland ME,1917,7,-0.101,-0.128,-0.12,-0.136
