Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
01/01/2000,49,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
01/02/2000,20,,Portland - SE Lafayette,41-051-0080,AQS
01/03/2000,28,,Portland - SE Lafayette,41-051-0080,AQS
01/04/2000,23,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
01/05/2000,71,,Portland - SE Lafayette,41-051-0080,AQS
01/06/2000,76,,Portland - SE Lafayette,41-051-0080,AQS
01/07/2000,79,,SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING,41-051-0244,AQS
01/08/2000,20,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/09/2000,14,,Portland - SE Lafayette,41-051-0080,AQS
01/10/2000,41,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
01/11/2000,36,,Portland - SE Lafayette,41-051-0080,AQS
01/12/2000,24,,Portland - SE Lafayette,41-051-0080,AQS
01/13/2000,39,,VACANT LOT SURROUNDED BY RESIDENCES,41-067-1003,AQS
01/14/2000,28,,Portland - SE Lafayette,41-051-0080,AQS
01/15/2000,54,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/16/2000,18,,VACANT LOT SURROUNDED BY RESIDENCES,41-067-1003,AQS
01/17/2000,56,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/18/2000,84,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/19/2000,86,,VACANT LOT SURROUNDED BY RESIDENCES,41-067-1003,AQS
01/20/2000,41,,SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING,41-051-0244,AQS
01/21/2000,38,,SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING,41-051-0244,AQS
01/22/2000,53,,VACANT LOT SURROUNDED BY RESIDENCES,41-067-1003,AQS
01/23/2000,33,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/24/2000,49,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/25/2000,55,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
01/26/2000,42,,Portland - SE Lafayette,41-051-0080,AQS
01/27/2000,75,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/28/2000,92,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
01/29/2000,29,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/30/2000,35,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
01/31/2000,60,,VACANT LOT SURROUNDED BY RESIDENCES,41-067-1003,AQS
02/01/2000,12,,"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",41-051-0246,AQS
